filename,psnr,ssim
000501.npy,26.284170150756836,0.6818728446960449
000502.npy,26.458660125732422,0.6798782348632812
000503.npy,26.54448699951172,0.6782146692276001
000504.npy,27.40146255493164,0.8715800046920776
000505.npy,23.879615783691406,0.8417916297912598
000506.npy,23.621370315551758,0.8482489585876465
000507.npy,23.65447235107422,0.8485443592071533
000508.npy,32.97324752807617,0.9664620757102966
000509.npy,23.065309524536133,0.67385333776474
000510.npy,24.54368782043457,0.6813756227493286
000511.npy,24.784339904785156,0.6943380832672119
000512.npy,28.473512649536133,0.8572746515274048
000513.npy,17.45343589782715,0.6214350461959839
000514.npy,18.091638565063477,0.6213150024414062
000515.npy,17.443740844726562,0.5944964289665222
000516.npy,26.011184692382812,0.6054340600967407
000517.npy,25.484882354736328,0.608992338180542
000518.npy,25.443157196044922,0.5901700854301453
000519.npy,25.569162368774414,0.5952878594398499
000520.npy,24.271163940429688,0.6686586141586304
000521.npy,32.1554069519043,0.7644617557525635
000522.npy,32.34919357299805,0.7695211172103882
000523.npy,31.743776321411133,0.7614516019821167
000524.npy,21.041526794433594,0.7512500286102295
000525.npy,31.09182357788086,0.6800930500030518
000526.npy,30.79010772705078,0.6660040616989136
000527.npy,30.92596435546875,0.6726102828979492
000528.npy,33.70086669921875,0.8958121538162231
000529.npy,23.80693817138672,0.818495512008667
000530.npy,23.564424514770508,0.7917174100875854
000531.npy,22.496679306030273,0.756688117980957
000532.npy,25.24557876586914,0.8360642194747925
000533.npy,23.89199447631836,0.7035688161849976
000534.npy,24.240436553955078,0.7491586208343506
000535.npy,24.47395133972168,0.7561452388763428
000536.npy,35.61390686035156,0.9404506087303162
000537.npy,33.97154998779297,0.9175403714179993
000538.npy,34.26030349731445,0.9252826571464539
000539.npy,34.92028045654297,0.9310119152069092
000540.npy,26.92208480834961,0.6955990791320801
000541.npy,35.83728790283203,0.8591103553771973
000542.npy,35.10918426513672,0.8450717329978943
000543.npy,35.552371978759766,0.857731282711029
000544.npy,32.46694564819336,0.9428849220275879
000545.npy,30.781076431274414,0.9165689945220947
000546.npy,30.42794418334961,0.9173581600189209
000547.npy,29.724618911743164,0.8866876363754272
000548.npy,36.76953887939453,0.9490581750869751
000549.npy,34.00129699707031,0.968063473701477
000550.npy,35.88315963745117,0.9674500226974487
000551.npy,33.977638244628906,0.967720627784729
000552.npy,24.913360595703125,0.8579665422439575
000553.npy,33.08018112182617,0.8815208673477173
000554.npy,32.489009857177734,0.8809571266174316
000555.npy,32.39017868041992,0.8787779808044434
000556.npy,38.92137145996094,0.9592194557189941
000557.npy,37.815025329589844,0.9626819491386414
000558.npy,33.59077453613281,0.9423248767852783
000559.npy,36.981590270996094,0.9623843431472778
000560.npy,25.956653594970703,0.7590456008911133
000561.npy,22.861106872558594,0.5759594440460205
000562.npy,22.852067947387695,0.5743045806884766
000563.npy,23.22308349609375,0.5791757106781006
000564.npy,32.210243225097656,0.862136960029602
000565.npy,22.473583221435547,0.5300053358078003
000566.npy,22.519611358642578,0.5409082174301147
000567.npy,23.122257232666016,0.5073590874671936
000568.npy,23.49311065673828,0.7199413776397705
000569.npy,25.442413330078125,0.7451877593994141
000570.npy,25.56914520263672,0.7443942427635193
000571.npy,25.55303382873535,0.7509875297546387
000572.npy,24.6829776763916,0.7237353920936584
000573.npy,31.99295425415039,0.9380002021789551
000574.npy,37.18855285644531,0.9691225290298462
000575.npy,36.53114318847656,0.9643021821975708
000576.npy,25.318517684936523,0.8700680732727051
000577.npy,27.033369064331055,0.8915978074073792
000578.npy,26.623764038085938,0.8664893507957458
000579.npy,26.941226959228516,0.8738745450973511
000580.npy,31.8018798828125,0.7388305068016052
000581.npy,29.366069793701172,0.9065565466880798
000582.npy,29.364587783813477,0.9033118486404419
000583.npy,29.978866577148438,0.9040417671203613
000584.npy,28.842449188232422,0.5654200911521912
000585.npy,26.23406410217285,0.44634807109832764
000586.npy,26.753589630126953,0.45925846695899963
000587.npy,26.83502197265625,0.45189955830574036
000588.npy,33.69166564941406,0.9176587462425232
000589.npy,30.227413177490234,0.6671508550643921
000590.npy,31.275327682495117,0.6734046339988708
000591.npy,31.550403594970703,0.6840014457702637
000592.npy,32.49085998535156,0.9196163415908813
000593.npy,23.45839500427246,0.7545678615570068
000594.npy,25.400760650634766,0.8114314079284668
000595.npy,23.681045532226562,0.7629618048667908
000596.npy,30.29024314880371,0.9483147859573364
000597.npy,33.23637008666992,0.7792526483535767
000598.npy,32.80302429199219,0.7410399913787842
000599.npy,32.19922637939453,0.7278615236282349
000600.npy,30.93389892578125,0.900661289691925
000601.npy,33.68720626831055,0.902860164642334
000602.npy,33.53138732910156,0.9030215740203857
000603.npy,32.66447448730469,0.8753522634506226
000604.npy,23.536623001098633,0.9028548002243042
000605.npy,24.62118148803711,0.8917249441146851
000606.npy,24.581562042236328,0.8839192390441895
000607.npy,25.469135284423828,0.9122312068939209
